,cluster_no,sentences
0,0,a contractual term provision forming part contract ref
1,0,custom hutton v warren ref
2,0,butuan city commercial industrial administrative center caraga region ref
3,0,edelmiro a amante sr former executive secretary pres
4,0,s gabriel da cachoeira nheengatu tukano baniwa ref ref
5,0,alan fleming gilkison wanaka
6,0,ralph patrick thompson christchurch
7,0,howard graham fleming callam auckland
8,0,charles stuart masters auckland
9,0,george malcolm peters taita
10,0,john graeme sinclair reid auckland
11,0,william alexander sutton christchurch
12,0,horace leslie verry wellington
13,0,warrant officer class i selwyn francis ryder g royal new zealand signals
14,0,ronald william greenough te awamutu
15,0,victor edwin jaynes wellington
16,0,sydney james lavelle auckland
17,0,robert stewart lockwood palmerston north
18,0,george tuoro marsden hamilton
19,0,herbert james poole lower hutt
20,0,harry leonard riley golden bay
21,0,john oswald sanders auckland
22,0,hugh hunter saunders christchurch
23,0,alan raine topham auckland
24,0,warrant officer marine engineering artificer arthur wayne hurndell f
25,0,warrant officer master arms john joseph watt si
26,0,warrant officer brian kelvin read v
27,0,colin alexander dickie wellington
28,0,andrew robert dreaver auckland
29,0,alan charlton fraser rangiora
30,0,richard john hadlee christchurch
31,0,ralph james iorns golden bay
32,0,ian andrew kirkpatrick gisborne
33,0,eugene james metge macloughlin te puke
34,0,alfred nevil wells peter newton rangiora
35,0,james julius nielsen superintendent traffic auckland city council
36,0,thomas michael noel rodgers palmerston north
37,0,william david skelton levin
38,0,donald murray stafford rotorua
39,0,henry ellis thomas sutton invercargill
40,0,norman george goffin lower hutt
41,0,russell james laurenson lower hutt
42,0,peter leonard newberry auckland
43,0,huntly stuart skinner dunedin
44,0,howard byron danby thames
45,0,gordon glendinning grieve invercargill
46,0,john holdsworth nairn waipawa
47,0,william henry parr nelson
48,0,ronald george russell mayor wanganui
49,0,john bernard thomas reporoa
50,0,wallace emilie walker dunsandel chairman ellesmere county council
51,0,margaret clare boyce auckland
52,0,leslie herbert freeman wellington
53,0,albert charles norman harmer auckland
54,0,arthur tolson inskeep frankton
55,0,richard malcolm leach waihi
56,0,ian nelson menzies new plymouth
57,0,evan william musgrove blenheim
58,0,robert hugh rodgers motueka
59,0,raymond william cleland wanaka chief ranger mount aspiring national park
60,0,douglas eccles fleury kimbolton
61,0,thomas william darcy hughes albany
62,0,hugh marchwell jennings gisborne
63,0,thomas richard alexander mccleary christchurch
64,0,george cyril parish auckland lately senior education officer mt
65,0,henry richard thorp paeroa
66,0,bryan blake wills rotorua
67,0,sergeant neville roderick clyde simpson m
68,0,paulias matane head papua new guinea mission united nations
69,0,chief superintendent john daltoft revill
70,0,william george assistant secretary department commerce central provincial government
71,0,david john stewart general manager copra marketing board papua new guinea
72,0,ratu henry barkeley vakaruru qasevakatini
73,0,kenneth spencer may darling point new south wales
74,0,keith charles owen shann deakin australian capital territory
75,0,sir robert crichton brown point piper new south wales
76,0,stuart leslie devlin london england
77,0,patrick john vance ramsden armadale victoria
78,0,arthur william shepherd mackay queensland
79,0,dr arthur ashley cooper pymble new south wales
80,0,vivian frederick davey kew victoria
81,0,roy dowell st ives new south wales
82,0,emeritus professor victor david hopper box hill victoria
83,0,samuel mitchell frederick martin toorak victoria for service transport industry
84,0,desmond vincent o leary toorak victoria
85,0,councillor frederick arthur rogers the summit queensland
86,0,roger robert woodward london england
87,0,commander robert hunter woolrych
88,0,lyle edgar baker tumut new south wales
89,0,alderman noel frank bullpitt bundaberg queensland
90,0,frederick john dorman deakin australian capital territory
91,0,keith eddy rosanna victoria
92,0,lex ellwood allora queensland
