,cluster_no,sentences
0,0,paul keels play play announcer ohio state university football basketball wbns fm
1,0,joe uecker ohio state senator r
2,0,rico murray undrafted free agent signee cincinnati bengals
3,0,tony hunter professional football player buffalo bills los angeles rams
4,0,jack norris president co founder vegan outreach
5,0,archbishop moeller high school established fall archbishop karl j alter appointed monsignor edward a mccarthy brother paul sibbing s m supervise planning construction new high school near montgomery ohio
6,0,one earliest ideas circular flow explained work th century irish french economist richard cantillon ref influenced prior economists especially william petty ref
7,0,fran ois quesnay developed concepts first visualize interactions time called tableau conomique ref
8,0,on august sharon returned walford dennis jnr became instantly involved prominent branning family shared flirtatious relationship jack soon befriended brother max ultimately partner tanya cross initially feuded
9,0,in april anita dobson made last appearance angie watts soon afterwards leslie grantham expressed desire step role den watts
10,0,den return widely regarded coup seen instrumental eastenders success time ref facing tight competition itv soaps coronation street enjoying one successful years ever ref emmerdale midst ratings revival
11,0,in august sharon sought phil help son dennis harry hickles kidnapped fianc john hewland jesse birdsall
12,0,in november gavin sullivan paul nicholas revealed den watts gang eric mitchell growing together walford
13,0,afm invented ibm scientists the precursor afm scanning tunneling microscope stm developed gerd binnig heinrich rohrer early ibm research zurich development earned nobel prize physics
14,0,beneath soil mollie lies trenton oil gas field responsible indiana gas boom ref
15,0,mollie post office discontinued february area mail began handled nearby hartford city post office ref
16,0,the audre lorde project founded brooklyn based organization queer people color
17,0,in lorde inducted legacy walk outdoor public display chicago illinois celebrates lgbt history people ref
18,0,lorde born new york city caribbean immigrants barbados carriacou frederick byron lorde known byron linda gertrude belmar lorde settled harlem
19,0,in lorde writer residence tougaloo college mississippi ref met frances clayton white professor psychology romantic partner ref
20,0,lorde time tougaloo college like year national university mexico formative experience artist
21,0,lorde professor english john jay college criminal justice part city university new york
22,0,in audre lorde started visiting professorship west berlin free university berlin
23,0,lorde died liver cancer november st croix living gloria i
24,0,the season feature the orchestra age enlightenment eighth blackbird pacifica quartet sitkovetsky trio takacs quartet angela hewitt piano cell duo nicolas altstaedt aleksandar mad ar
25,0,the season featured tafelmusik eggner trio modigliani string quartet goldner string quartet steven isserlis connie shih i fagiolini paul lewis maxim vengerov
26,0,the season featured kelemen quartet sitkovetsky trio american brass quintet choir king college cambridge imogen cooper borodin quartet ray chen timothy young
27,0,the season featured tafelmusik diana doherty st lawrence string quartet trio dali tak cs quartet amarcord kuss quartet naoko shimizu anthony marwood aleksandar mad ar
28,0,musica viva heritage grounded vision one man richard goldner romanian born violist trained vienna
29,0,inspired life vienna enormous respect teacher simon pullman determined create pullman like ensemble sydney
30,0,in festival feature pinchas zuckerman lambert orkis elias quartet
31,0,in musica viva festival included lambert orkis benjamin beilman alice giles sharon bezaly hector mcdonald pieter wispelwey pacifica quartet goldner string quartet
32,0,in second musica viva festival held sydney musicians included pekka kuusisto tak cs quartet eggner trio khatia buniatishvili goldner string quartet musicians australian youth orchestra
33,0,the melbourne season features young kwon choi songmakers australia nikki chooii amid farid james crabb genevieve lacey goldner string quartet
34,0,the melbourne season featured benjamin breen caroline almonte tiffany speight david mcnicol oliver she la compa ia adam chalabi marshall mcguire
35,0,the sydney season featured synergy percussion geoffrey collins alice giles australian brass quintet emma jane murphy bernadette harvey
36,0,fernando henrique cardoso started first term january reelected
37,0,on october dilma rousseff also worker party first woman elected president brazil term beginning january
38,0,on june rouseff announced program labelled brasil sem mis ria brazil without poverty
39,0,in luiz in cio lula da silva pt workers party presidency national vote
40,0,in roberto jefferson chairman brazilian labour party ptb implicated bribery case
41,0,tancredo neves minas gerais get lio dornelles vargas minister justice former federal deputy senator prime minister seized momentum
42,0,it presented neves opposition candidate paulo maluf ref
43,0,in may fernando collor accused brother pedro collor corruption condoning influence peddling scheme run campaign treasurer paulo c sar farias
44,0,on august final congressional inquiry report released proven fernando collor personal expenses paid money raised paulo c sar farias influence peddling scheme
45,0,franco moved away collor made arrangements national coalition government including main leaders pmdb pfl psdb
46,0,the last military president jo figueiredo signed general amnesty law turned geisel distens gradual abertura opening political system saying goal make country democracy
47,0,princess beatrice daughter arrived biarritz january stayed villa mauriscot days later king alfonso met
