,cluster_no,sentences
0,0,moeller student run newspaper the crusader consistently recognized one top region
1,0,paul keels play play announcer ohio state university football basketball wbns fm
2,0,joe uecker ohio state senator r
3,0,tony hunter professional football player buffalo bills los angeles rams
4,0,jack norris president co founder vegan outreach
5,0,archbishop moeller high school established fall archbishop karl j alter appointed monsignor edward a mccarthy brother paul sibbing s m supervise planning construction new high school near montgomery ohio
6,0,starting freshman class moeller high school adopted new laptop program
7,0,the lacrosse team two state titles constant force state midwest
8,0,this say circular flow diagram useful understanding basics economy leakages injections
9,0,the circular flow income concept better understanding economy whole example national income product accounts nipas
10,0,households spend income y goods services consumption c
11,0,all output o produced firms purchased households expenditure e
12,0,each sectors receives payments lieu goods services makes regular flow goods physical services
13,0,in overseas sector the main leakage sector imports m represent spending residents rest world
14,0,savings taxes imports investment government spending exports
15,0,s t m i g x
16,0,on august sharon returned walford dennis jnr became instantly involved prominent branning family shared flirtatious relationship jack soon befriended brother max ultimately partner tanya cross initially feuded
17,0,the watts family one central families introduced viewers eastenders began created show co creators tony holland julia smith
18,0,den return widely regarded coup seen instrumental eastenders success time ref facing tight competition itv soaps coronation street enjoying one successful years ever ref emmerdale midst ratings revival
19,0,the return den years took conflict two families another level
20,0,in august sharon sought phil help son dennis harry hickles kidnapped fianc john hewland jesse birdsall
21,0,throughout years screen watts one eastenders tried tested sources drama tragedy
22,0,it relationship den princess central dynamic watts family
23,0,capacitive detection metal coated cantilevers form capacitor another contact located behind cantilever ref
24,0,piezoresistive detection cantilevers fabricated piezoresistive elements act strain gauge
25,0,just like tool afm usefulness limitations
26,0,a disadvantage afm compared scanning electron microscope sem single scan image size
27,0,the scanning speed afm also limitation
28,0,the afm consists cantilever sharp tip probe end used scan specimen surface
29,0,in non contact atomic force microscopy mode tip cantilever contact sample surface
30,0,in amplitude modulation changes oscillation amplitude phase provide feedback signal imaging
31,0,in force measurement afms used measure forces probe sample function mutual separation
32,0,in manipulation forces tip sample also used change properties sample controlled way
33,0,there several types scanning microscopy including scanning probe microscopy includes afm scanning tunneling microscopy stm near field scanning optical microscope snom nsom sted microscopy sted scanning electron microscopy
34,0,the detector afm measures deflection displacement respect equilibrium position cantilever converts electrical signal
35,0,the afm signals sample height cantilever deflection recorded computer x scan
36,0,afm invented ibm scientists the precursor afm scanning tunneling microscope stm developed gerd binnig heinrich rohrer early ibm research zurich development earned nobel prize physics
37,0,the first commercially available atomic force microscope introduced
38,0,applications field solid state physics include identification atoms surface b evaluation interactions specific atom neighboring atoms c study changes physical properties arising changes atomic arrangement atomic manipulation
39,0,in cellular biology afm used attempt distinguish cancer cells normal cells based hardness cells b evaluate interactions specific cell neighboring cells competitive culture system
40,0,afm scanners made piezoelectric material expands contracts proportionally applied voltage
41,0,this device commonly called afm probe names include afm tip cantilever employing name single part name whole device
42,0,the surface cantilevers also modified
43,0,future northern indiana including became harrison township mollie flattened two glaciers millions years ago ref
44,0,in natural gas discovered nearby hartford city blackford county began participation indiana gas boom ref
45,0,located mollie next intersection two county roads railroad line
46,0,at beginning th century indiana gas boom gradually came end ref
47,0,other contributors mollie demise concerned jacob burnworth tile factory
48,0,in mollie population people community consisted two houses
49,0,lorde work black feminism continues examined scholars today
50,0,she attended hunter college high school secondary school intellectually gifted students graduated
51,0,lorde time tougaloo college like year national university mexico formative experience artist
